short_id,config_id,arch_str,depth,width_sum,activation,optimizer,lr,weight_decay,dropout,batch_size,input_noise,momentum,nesterov,alpha,mean_mee,std_mee,mean_train,gen_gap,mean_epochs,min_mee,max_mee,elapsed_sec
C0043,64_relu_adam_lr0.005_wd0.001_do0.2_bs32_ns0,64,1,64,relu,adam,0.005,0.001,0.2,32,0.0,,,,23.521514519271523,0.4022757738472036,22.506301779223243,1.0152127400482804,35.8,22.982931837914112,24.0092986131527,3.705909252166748
C0643,64x64x32_tanh_nesterov_lr0.005_wd0.005_do0.1_bs32_ns0_momentum0.9_nesterovTrue,64x64x32,3,160,tanh,nesterov,0.005,0.005,0.1,32,0.0,0.9,True,,23.532755038041728,0.763061546622092,22.77935441868592,0.7534006193558085,83.4,22.61802763328891,24.667096401802105,10.162808418273926
C0054,64_relu_adam_lr0.005_wd0.005_do0.2_bs32_ns0.05,64,1,64,relu,adam,0.005,0.005,0.2,32,0.05,,,,23.536117861859616,0.8354905036777828,22.725496170570576,0.8106216912890396,45.2,22.718428410303737,24.858252884086195,4.485070705413818
C0546,64x64x32_relu_nesterov_lr0.01_wd0.001_do0.1_bs32_ns0.05_momentum0.9_nesterovTrue,64x64x32,3,160,relu,nesterov,0.01,0.001,0.1,32,0.05,0.9,True,,23.539694519171036,1.2104057019240366,23.054165751636646,0.4855287675343902,41.0,22.268679159276306,25.538163787011577,5.809380531311035
C0373,64x32_relu_nesterov_lr0.005_wd0.005_do0.1_bs32_ns0_momentum0.9_nesterovTrue,64x32,2,96,relu,nesterov,0.005,0.005,0.1,32,0.0,0.9,True,,23.540335324920353,0.3649183543304346,23.003783326731714,0.5365519981886386,69.6,23.027917860864164,23.922265427907526,6.348574638366699
C0486,64x64x32_relu_adam_lr0.005_wd0.005_do0.2_bs32_ns0.05,64x64x32,3,160,relu,adam,0.005,0.005,0.2,32,0.05,,,,23.542871990172095,0.8166907133958435,23.009368058372225,0.5335039317998707,46.2,22.854660196293445,24.833016615767725,7.969188213348389
C0502,64x64x32_tanh_adam_lr0.01_wd0.005_do0.2_bs32_ns0,64x64x32,3,160,tanh,adam,0.01,0.005,0.2,32,0.0,,,,23.545859475096858,0.8810813787323882,23.111474381585385,0.43438509351147303,61.2,22.778386844746265,24.95598667130829,10.208956718444824
C0056,64_tanh_adam_lr0.01_wd0.001_do0_bs32_ns0.01,64,1,64,tanh,adam,0.01,0.001,0.0,32,0.01,,,,23.552032303275,0.500141790392652,22.6572479678443,0.8947843354306997,42.6,23.02419123393013,24.073069274013356,4.099776983261108
C0111,64_relu_nesterov_lr0.01_wd0.001_do0_bs32_ns0.05_momentum0.9_nesterovTrue,64,1,64,relu,nesterov,0.01,0.001,0.0,32,0.05,0.9,True,,23.563834393981544,0.7498398612137821,22.423222056994014,1.1406123369875303,36.0,22.384617170117103,24.35984024664362,3.0097250938415527
C0247,64x32_relu_adam_lr0.001_wd0.005_do0.1_bs32_ns0,64x32,2,96,relu,adam,0.001,0.005,0.1,32,0.0,,,,23.565013542798766,0.8412129158306595,22.87416777635,0.690845766448767,69.8,22.38956029868652,24.517987224491144,7.989611864089966
C0504,64x64x32_tanh_adam_lr0.01_wd0.005_do0.2_bs32_ns0.05,64x64x32,3,160,tanh,adam,0.01,0.005,0.2,32,0.05,,,,23.567331820576616,0.7818743691868025,23.12785619303383,0.43947562754278735,52.8,22.870914769064054,24.90592549806635,9.112527847290039
C0609,64x64x32_tanh_nesterov_lr0.01_wd0.005_do0.1_bs32_ns0.05_momentum0.9_nesterovTrue,64x64x32,3,160,tanh,nesterov,0.01,0.005,0.1,32,0.05,0.9,True,,23.574484764567767,0.4697392592358458,22.896811727392855,0.6776730371749125,55.6,22.888245749240095,24.080959122370757,7.398578643798828
C0636,64x64x32_tanh_nesterov_lr0.005_wd0.001_do0.1_bs32_ns0.05_momentum0.9_nesterovTrue,64x64x32,3,160,tanh,nesterov,0.005,0.001,0.1,32,0.05,0.9,True,,23.576512793147394,1.0161906703485222,22.65851945942544,0.9179933337219524,87.4,22.411415799662496,25.194789207783543,10.990084171295166
C0053,64_relu_adam_lr0.005_wd0.005_do0.2_bs32_ns0.01,64,1,64,relu,adam,0.005,0.005,0.2,32,0.01,,,,23.578730884583052,0.8770087822434038,22.713962424637675,0.8647684599453775,42.6,22.813921586691617,24.980776577894055,4.320068597793579
C0365,64x32_relu_nesterov_lr0.005_wd0.001_do0.1_bs32_ns0.01_momentum0.9_nesterovTrue,64x32,2,96,relu,nesterov,0.005,0.001,0.1,32,0.01,0.9,True,,23.583499891852636,0.41141450536626606,23.02779562697586,0.5557042648767769,58.2,23.00880040237516,24.073337158318775,5.730489492416382
